Time (s);Electrode;Attention;Meditation;Sampling Rate
1.339844;-28.000000;43.000000;75.000000;
1.341797;-41.000000;43.000000;75.000000;
1.343750;-45.000000;43.000000;75.000000;
1.345703;-68.000000;43.000000;75.000000;
1.347656;-93.000000;43.000000;75.000000;
1.349609;-120.000000;43.000000;75.000000;
1.351563;-169.000000;43.000000;75.000000;
1.353516;-209.000000;43.000000;75.000000;
1.355469;-219.000000;43.000000;75.000000;
1.357422;-230.000000;43.000000;75.000000;
1.359375;-254.000000;43.000000;75.000000;
1.361328;-282.000000;43.000000;75.000000;
1.363281;-291.000000;43.000000;75.000000;
1.365234;-273.000000;43.000000;75.000000;
1.367188;-282.000000;43.000000;75.000000;
1.369141;-325.000000;43.000000;75.000000;
1.371094;-347.000000;43.000000;75.000000;
1.373047;-364.000000;43.000000;75.000000;
1.375000;-364.000000;43.000000;75.000000;
1.376953;-375.000000;43.000000;75.000000;
1.378906;-420.000000;43.000000;75.000000;
1.380859;-452.000000;43.000000;75.000000;
1.382813;-445.000000;43.000000;75.000000;
1.384766;-435.000000;43.000000;75.000000;
1.386719;-414.000000;43.000000;75.000000;
1.388672;-380.000000;43.000000;75.000000;
1.390625;-347.000000;43.000000;75.000000;
1.392578;-306.000000;43.000000;75.000000;
1.394531;-282.000000;43.000000;75.000000;
1.396484;-279.000000;43.000000;75.000000;
1.398438;-248.000000;43.000000;75.000000;
1.400391;-199.000000;43.000000;75.000000;
1.402344;-195.000000;43.000000;75.000000;
1.404297;-210.000000;43.000000;75.000000;
1.406250;-182.000000;43.000000;75.000000;
1.408203;-162.000000;43.000000;75.000000;
1.410156;-173.000000;43.000000;75.000000;
1.412109;-186.000000;43.000000;75.000000;
1.414063;-187.000000;43.000000;75.000000;
1.416016;-173.000000;43.000000;75.000000;
1.417969;-180.000000;43.000000;75.000000;
1.419922;-211.000000;43.000000;75.000000;
1.421875;-205.000000;43.000000;75.000000;
1.423828;-181.000000;43.000000;75.000000;
1.425781;-167.000000;43.000000;75.000000;
1.427734;-137.000000;43.000000;75.000000;
1.429688;-146.000000;43.000000;75.000000;
1.431641;-199.000000;43.000000;75.000000;
1.433594;-214.000000;43.000000;75.000000;
1.435547;-173.000000;43.000000;75.000000;
1.437500;-170.000000;43.000000;75.000000;
1.439453;-198.000000;43.000000;75.000000;
1.441406;-198.000000;43.000000;75.000000;
