Time, Battery, PoorSignal, Attention, Meditation, Raw, Delta, Theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma, Blink,
21:46:22.000723,0,0,97,78,113,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000724,0,0,97,78,132,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000730,0,0,97,78,171,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000731,0,0,97,78,178,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000732,0,0,97,78,136,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000733,0,0,97,78,106,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000734,0,0,97,78,99,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000738,0,0,97,78,26,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000739,0,0,97,78,-72,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000740,0,0,97,78,-82,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000741,0,0,97,78,-2,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000747,0,0,97,78,56,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000748,0,0,97,78,58,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000749,0,0,97,78,49,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000750,0,0,97,78,82,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000751,0,0,97,78,150,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000756,0,0,97,78,187,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000757,0,0,97,78,189,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000758,0,0,97,78,176,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000759,0,0,97,78,157,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000765,0,0,97,78,146,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000766,0,0,97,78,119,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000767,0,0,97,78,87,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000768,0,0,97,78,82,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000769,0,0,97,78,104,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000773,0,0,97,78,131,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000774,0,0,97,78,140,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000775,0,0,97,78,133,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000776,0,0,97,78,114,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000782,0,0,97,78,86,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000783,0,0,97,78,72,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000784,0,0,97,78,91,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000785,0,0,97,78,103,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000786,0,0,97,78,90,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000791,0,0,97,78,65,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000792,0,0,97,78,53,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000793,0,0,97,78,51,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000794,0,0,97,78,54,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000800,0,0,97,78,89,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000801,0,0,97,78,139,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000802,0,0,97,78,193,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000803,0,0,97,78,219,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000804,0,0,97,78,185,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000808,0,0,97,78,114,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000809,0,0,97,78,60,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000810,0,0,97,78,41,5141,6785,7642,1452,6873,3585,4052,1898,46,
